"question","ground_truth_origin","ground_truth_answer"
"What year does Dr. Watson complete his medical degree?","study_in_scarlett.txt:1","1878"
"Where do Sherlock Holmes and Dr. Watson decide to live together?","study_in_scarlett.txt:10","221B Baker Street"
"What word does Sherlock Holmes find written in blood on the wall at the crime scene?","study_in_scarlett.txt:30","RACHE"
"What profession does Sherlock Holmes describe himself as having?","study_in_scarlett.txt:30","A consulting detective"
"Who is the woman that Sherlock Holmes admires and refers to as 'the woman'?","adventures_of_sherlock_holmes.txt:28","Irene Adler"
"What unique characteristic qualified Mr. Jabez Wilson to join the Red-Headed League?","adventures_of_sherlock_holmes.txt:31","His bright red hair"
"Who is Miss Mary Sutherland engaged to marry?","adventures_of_sherlock_holmes.txt:62","Hosmer Angel"
"Who is ultimately responsible for the threats and deaths in the Openshaw family?","adventures_of_sherlock_holmes.txt:121","The Ku Klux Klan"
"Where does Holmes find the missing blue carbuncle?","adventures_of_sherlock_holmes.txt:161","Inside a goose"
"What creature does Holmes discover is the actual cause of Julia Stoner's death?","adventures_of_sherlock_holmes.txt:205","A poisonous snake, specifically a swamp adder"
